ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
82323,107,721,4084,4367,28,2,1,7,1,193,896,829,828,2,1,59,110,59,15,9,11,60,0.6174216373023874,0.942350615258832,-0.234399058733589,-0.1287381156964341,11,1,-0.1745993761400375,0.7473291722026011,1.633068793448586
39053,38,1134,416,549,34,2,0,5,0,18,303,1252,1250,3,3,50,29,49,11,54,16,100,-0.4494634745950618,-0.4487391588602712,-0.3050022337246044,-0.1623192463616931,9,1,-1.2253187240379944,-0.0991043758081745,-0.4641663587714925
11806,72,1236,2830,6505,26,2,1,7,0,764,896,209,208,2,1,59,106,58,15,5,11,60,0.291443535402134,0.1863713520546395,-0.3181581048409426,-0.1501079261197807,23,0,1.22283089008193,1.324535663978624,0.2461030467645433
86211,64,594,6060,6550,30,2,1,7,0,478,896,2082,2031,2,1,59,175,84,15,33,10,30,-0.4483144330098196,-0.4526353247006651,-0.4025749445041131,-0.1501079261197807,65,1,-0.8805927918875942,-1.5110167218574746,-0.4685929097052543
2683,74,1236,620,3479,28,2,0,5,0,764,895,36,36,2,1,13,145,74,15,19,10,60,-0.342227919694082,-0.4076276220669448,-0.4003822993180568,-0.1684249064826493,11,0,0.6630647891236987,0.893160494329759,-0.4718471320812163
2499,74,1236,2070,2617,28,2,0,6,0,764,442,557,556,2,1,2,128,66,0,18,10,120,-0.4561079324575497,-0.4479041730867826,0.4207633228600562,-0.0829456647892626,7,1,0.1171935913807425,-1.6619470412618056,-0.4599621460124858
17259,68,934,43,82,37,2,0,6,0,45,451,1053,1052,2,1,40,46,11,41,22,4,30,-0.4055251235419932,-0.3451542355711023,-0.0782827214863749,-0.0005192531563539,20,1,-1.4297722999199016,-1.1974283893113136,-0.343517580124805
86056,54,281,5526,5982,9,2,1,7,3,707,896,1747,1735,2,1,59,110,59,15,9,11,60,2.039985078162113,1.9356998542645467,-0.2993013562408578,-0.1440022659988246,11,0,1.1103483402439875,1.2378527102666772,1.59339153553546
53616,62,133,850,1169,16,2,0,5,2,306,398,1589,1587,2,5,13,101,57,15,2,7,240,-0.4096716649148241,-0.4485921457563437,-0.4490590224485083,-0.1836890567850398,11,0,0.5327173637232595,0.792710247969444,-0.4649344361024649
15298,81,509,1599,2381,33,2,0,3,3,713,518,2011,1965,2,1,51,44,10,15,36,3,30,-0.4577565573407234,-0.4563054969930002,-0.1686197031518977,-0.0432588740030473,11,0,1.3346517778620024,0.7473291722026011,-0.4716450064678025
81496,66,248,1048,1455,40,2,0,5,0,571,717,1666,1654,2,1,22,110,59,15,9,11,60,-0.3021113808701888,-0.31025316250933,-0.302809588538548,-0.1470550960593027,23,1,0.335542070477925,-1.5354919087879066,-0.3455186236976015
24706,62,132,821,1272,16,2,0,6,0,58,292,1590,1588,2,5,18,42,10,40,23,1,60,-0.4319530800025655,-0.4355091380024983,-0.3269286855851682,-0.1501079261197807,20,1,-0.9871203832047044,-1.1306315249803427,-0.4536356143126344
28085,66,1095,293,475,40,2,0,5,0,735,134,1223,1221,2,1,13,10,0,15,33,10,60,-0.4482394955151298,-0.4403557047501772,-0.1635766192239681,-0.1134739653940436,11,0,0.4910326540774337,0.760586565123252,-0.4531505128404413
46587,112,802,2500,3159,33,2,0,3,0,330,387,817,816,2,1,13,104,57,15,13,10,60,0.8504522666224994,-0.0727874080760723,-0.4249399254018882,-0.1745305666036055,11,1,-0.871991185135281,-0.2719603835043511,0.105645958003305
86367,54,853,4250,4613,9,2,1,7,0,528,896,970,969,2,5,59,142,74,15,2,8,240,-0.4058748318505451,-0.4448240226528419,-0.4376572674810152,-0.1836890567850398,11,1,0.2607742579385868,0.582631560149902,-0.4541409283461688
82398,79,1059,4516,4830,39,2,1,7,0,576,896,1087,1086,2,1,59,175,84,15,33,10,30,-0.3968073949930899,-0.4110945942140563,-0.3396460276642951,-0.1226324555754779,65,1,-1.438373906672215,-1.2382203675287002,-0.4194561730843635
60812,62,629,2240,2891,16,2,0,1,0,620,779,686,685,2,5,42,52,12,36,35,7,180,-0.4531354118348577,-0.447162677916028,-0.1085412250539529,-0.159266416301215,55,1,-0.1143881288738446,-0.6650930735744162,-0.4589515179454169
58556,112,884,2658,3576,33,2,0,3,2,691,871,1014,1013,2,1,13,56,12,15,49,10,30,1.3141405045975492,0.4741627098435508,-0.3810870216807606,-0.1409494359383465,11,1,0.0053727036006703,-1.875595027175369,0.9286206055788668
12336,63,1236,3310,6778,30,2,1,7,0,764,896,82,81,3,2,59,89,44,39,54,15,20,-0.4454418290467139,-0.4102539318116533,0.2212326109289259,0.3017109228309773,85,0,1.2823804752902526,1.3704266394731843,-0.4718471320812163
73003,66,468,1532,2119,40,2,0,5,0,638,761,1920,1882,2,1,28,59,14,15,47,11,30,0.0216685545191656,0.1272880715164241,-0.2501861040731949,-0.0798928347287845,39,1,-0.7912684140751105,-0.2826682777864151,-0.0529620108424909
48182,62,507,1645,2132,16,2,0,6,0,744,213,1916,1879,2,1,2,157,80,27,1,10,60,-0.451137078643132,-0.4511974867289397,-0.3302176533642527,-0.1531607561802588,7,1,-0.5060920671330328,0.3414489889396026,-0.4679663203036717
54661,35,276,1096,1386,24,2,0,5,0,639,886,1634,1635,3,2,50,70,27,11,54,15,100,-0.451436828621891,-0.3963519834497203,1.2737023002359866,0.0574845179927294,9,1,-1.6752489233897645,-0.8914885526809129,-0.4198402117498498
82412,68,1027,4460,4885,37,2,1,7,0,459,896,1163,1162,2,1,59,58,13,15,46,11,30,-0.3539431480305738,-0.2164174439072453,-0.0436389275466841,0.0147448971460361,65,1,-0.2242240304803062,-0.9037261461461288,-0.195278655247136
85926,68,51,5039,5489,37,2,1,7,3,674,896,1456,1454,2,1,59,58,13,15,46,11,30,1.1751814102779243,2.1356518961405464,-0.1802407226379965,-0.0463117040635254,65,1,0.1879914315728593,0.7473291722026011,2.0645059152803067
83671,23,157,5270,5585,6,2,1,7,0,275,896,1512,1510,2,5,59,180,85,15,2,7,240,-0.4435933708443676,-0.453102632902373,-0.4343682997019306,-0.1836890567850398,11,1,-0.3625114005751886,0.0263309572102897,-0.4688354604413509
4929,70,1236,1960,2576,41,2,0,5,0,764,44,524,523,3,2,67,66,21,2,54,15,25,-0.4504376620260281,-0.4392163242323471,-0.0418848113978391,0.0574845179927294,83,1,0.4208964759431873,-1.7863625748248353,-0.4480771599437553
12246,74,1236,3444,6963,28,2,1,7,0,764,896,405,404,2,1,59,169,82,15,34,0,60,-0.4353752255933957,-0.452540038429601,-0.4464278482252407,-0.1775833966640836,11,0,1.3200952125888568,1.3994909239530724,-0.4673195183407475
